0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
33,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK304,Algoritmusok és adatszerkezetek I.,Kötelező,,,,,2,3,,TE-IBK304E,Algoritmusok és adatszerkezetek I.,Kötelező,,,IBK304E-00001,Algoritmusok és adatszerkezetek I. (tehetséggondozó program),2,3,,IBK304E-00001,Algoritmusok és adatszerkezetek I. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
34,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,5,,TT-IBK154,Mesterséges intelligencia I.,Kötelező,,,,,2,5,,TE-IBK154G,Mesterséges intelligencia I.,Kötelező,,,IBK154G-00001,Mesterséges intelligencia I.  gyakorlat (tehetséggondozó program),2,,,IBK154G-00001,Mesterséges intelligencia I.  gyakorlat (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
35,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK203,Operációkutatás I.,Kötelező,,,,,2,2,,TE-IBK203E,Operációkutatás I.,Kötelező,,,IBK203E,Operációkutatás I.,2,2,,IBK203E,Operációkutatás I.,Kötelezően választható,Kollokvium Közepes (3) 2021.06.03.,1,,,,,,,,,,,,
36,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK604,Logika és informatikai alkalmazásai,Kötelező,,,,,2,2,,TE-IBK604E,Logika és informatikai alkalmazásai,Kötelező,,,IBK604E,Logika és informatikai alkalmazásai,2,2,,IBK604E,Logika és informatikai alkalmazásai,Kötelezően választható,Kollokvium Elégséges (2) 2022.05.19.,3,,,,,,,,,,,,
37,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB402,Operációs rendszerek,Kötelező,,,,,2,2,,TE-IB402e,Operációs rendszerek,Kötelező,,,IB402e-00001,Operációs rendszerek (tehetséggondozó program),2,2,,IB402e-00001,Operációs rendszerek (tehetséggondozó program),Kötelezően választható,Kollokvium Jó (4) 2021.06.02.,,,,,,,,,,,,,
38,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB042,Digitális képfeldolgozás,Kötelező,,,,,2,4,,TE-IB042e,Digitális képfeldolgozás,Kötelező,,,IB042e-00001,Digitális képfeldolgozás (tehetséggondozó program),2,4,,IB042e-00001,Digitális képfeldolgozás (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
39,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,6,2,,TT-IB204,Programozás I.,Kötelező,,,,,3,2,,TE-IB204E,Programozás I.,Kötelező,,,IB204E,Programozás I. (tehetséggondozó program),3,2,,IB204E,Programozás I. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
40,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,6,2,,TT-IB204,Programozás I.,Kötelező,,,,,3,2,,TE-IB204L,Programozás I.,Kötelező,,,IB204L-00001,Programozás I. gyak. (tehetséggondozó program),3,2,,IB204L-00001,Programozás I. gyak. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
41,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB153,Rendszerfejlesztés I.,Kötelező,,,,,2,3,,TE-IB153l,Rendszerfejlesztés I.,Kötelező,,,IB153l,Rendszerfejlesztés I. gyak.,2,3,,IB153l,Rendszerfejlesztés I. gyak.,Kötelező,Gyakorlati jegy Jó (4) 2021.12.09.,1,,,,,,,,,,,,
42,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,3,6,,TT-IB716,Információbiztonság,Kötelező,,,,,2,6,,TE-IB716E,Információbiztonság,Kötelező,,,IB716E,Információbiztonság,2,6,,IB716E,Információbiztonság,Kötelező,Kollokvium Jó (4) 2023.05.17.,1,,,,,,,,,,,,
